,name,type,rating,number_of_ratings,final_price,original_price,discount
0,Ethics (Hindi) - Nitishastra with 1 Disc,"Hindi, Paperback, Sunil Agrahari",4.4,150,449,560,19
1,A Naturalist's Guide To The Reptiles Of India,"English, Paperback, Das Indraneil",4.3,30,317,499,36
2,Think Like a Monk - Train Your Mind for Peace and Purpo...,"English, Paperback, Jay Shetty",4.8,807,388,499,22
3,25 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers...,"English, Paperback, Disha Experts, Mrunal Patel",4.5,16860,271,525,48
4,Word Power Made Easy,"Paperbook, Norman Lewis",4.3,808,170,399,57
5,Tamilnadu History Books - Class Xi And Xii ( 2 Books - ...,"Paperback, V. ZAFAR AHMED & V. MUTHUMARI",4.4,2430,210,349,39
6,Combo Of THE ALCHEMIST And IKIGAI,"Paperback, paulo coelho, Albert Liebermann, Hector Garcia",4.2,1188,215,799,73
7,Bharat Ka Prachin Itihas,"Fine Paperback, Hindi, Ram Sharan Sharma",4.1,99,234,299,21
8,Mtg Neet 32-Years (2019-1988) 3-Books(Phy. + Chem. + Bi...,"Paperback, MTG EXPEART TEAM",4.5,1218,603,950,36
9,ENVIRONMENT 7th Revised Edition By Shankar IAS Academy,"Paperback, Shankar IAS academy",4.1,2308,230,400,42
10,KVPY 11 Years Solved Papers 2019-2009 Stream SA,"English, Paperback, Mansi Garg, Sanubia Saleem, Lakshman Prasad, Deepak paliwal, Neha Minglani",4.6,164,117,195,40
11,"Adhunik Bharat Ka Itihas By Vipin Chandra, Indian Polit...","Paperback, Hindi, Bipin Chandra and M laxmikanth",4.3,607,638,979,34
12,BIHAR SI/ESI PRE Vol-01 + BIHAR SI MAINS Vol-02,"Paperback, Hindi, TEAM EDUTERIA",4.7,35,180,310,41
13,Set Of 3( Three )Classic Books,"Paperback, sapiens and stephens hawking",3.9,452,380,1228,69
14,Bihar Si Mains Volume-2,"Paperback, Hindi, EDUTERIA TEAM",4.5,58,90,165,45
15,SSB OIR - Officer intelligence rating test,"English, Paperback, DDE",4.4,1805,299,419,28
16,Certificate Physical and Human Geography,"English, Paperback, Goh Cheng Leong",4.5,19776,246,325,24
17,IAS COMBO Indian Economy By Ramsh Singh 10th Edition An...,"Paperback, RAMESH SINGH, MAJID HUSSAIN",4.2,441,508,1250,59
18,10000+ Objective MCQS with Explanatory Notes for Genera...,"English, Paperback, Disha Publication",4.5,4346,472,850,44
19,A Brief History Of Modern India,"Paperback, RAJEEV AHIR",4.3,1434,275,415,33
20,Encyclopedia of General Science,"English, Paperback, Experts",4.5,19578,157,245,35
21,"A Naturalist's Guide to the Trees & Shrubs of India, Pa...","English, Paperback, Sachdeva Pardeep",4.2,60,317,499,36
22,GATE-2021: Mechanical Engg. Prev. Yr Solved Papers,"MADE EASY Publications, MADE EASY Editorial Board",4.4,168,679,875,22
23,Alchemist,"Hindi, Paperback, Coelho Paulo",4.5,2226,147,195,24
24,CDS Maths : Fastrack With Shortcut Tricks,"English, Paperback, DDE",4.5,82,341,552,38
25,Fast Track Objective Arithmetic,"English, Paperback, Verma Rajesh",4.5,19644,262,465,43
26,Combo Set For Jaiib Principles / Accounting And Legal 3...,"Paperback, MACMILLAN TEAM",4.5,1710,1308,1540,15
27,Engineering Mathematics for Gate 2021 and ESE 2021 (Pre...,"English, Paperback, unknown",4.4,298,491,750,34
28,IAS COMBO Indian Economy By Ramsh Singh 11th Edition An...,"Paperback, by Shankar (Author), Ramesh Singh (Author)",4.0,306,472,1450,67
29,Bihar Si Mains [ Vol-01 & Vol-02 ],"Paperback, Hindi, Team Eduteria",4.6,61,175,280,37
30,Ncert Physics Class12-Volume1 &Volume2,"Paperback, NCERT EXPERTS",4.3,712,225,330,31
31,General Knowledge 2020-21 Combo Lucent With Arihant (Pa...,"Paperback, LUCENT, MANHOR PANDEY",4.4,922,215,236,8
32,AFCAT the first step,"English, Paperback, DDE",4.3,425,312,560,44
33,Picture Book Collections for Eary Learning (Set of 12) ...,"English, Cards, Inikao",4.3,5055,237,360,34
34,The Alchemist,"Marathi, Paperback, Coehlo Paulo",4.4,587,147,150,2
35,32 Years Chapterwise Solutions CBSE AIPMT And NEET - PC...,"Paperback, ARIHANT EXPERTS",4.3,879,654,880,25
36,GATE-2021: Civil Engg. Previous Year Solved Papers,"Paperback, MADE EASY Editorial Board",4.4,330,569,875,34
37,Indian Army NER Soldier GD General Duty Recruitment Exa...,"Paperback, Hindi, Yajvendra Yadav, Ram Singh Yadav",4.3,2146,133,135,1
38,Jeetna Hai to Jid Karo,"Hindi, Paperback, Hundiwalan S.",4.4,3799,95,135,29
39,Ethics (Hindi) - Nitishastra with 1 Disc,"Hindi, Paperback, Sunil Agrahari",4.4,150,449,560,19
40,7 Years UPSC IAS/ IPS Mains General Studies Papers 1 - ...,"English, Paperback, DISHA PUBLICATIONS",4.4,2239,179,300,40
41,Arihant 41-Years 3-Books Set (Chem. + Phy. + Maths. ) C...,"Paperback, D C PANDEY, AMIT M AGARWAL, RANJEET SHAHI",4.5,1456,809,1340,39
42,Rich Dad Poor Dad,"Bengali, Paperback, Kiyosaki Robert T.",4.5,3249,186,299,37
43,THE SECRET,"Tamil, Paperback, RHONDA BYRNE",4.5,238,358,550,34
44,The Secret,"Kannada, Paperback, Byrne Rhonda",4.3,510,304,450,32
45,A Naturalist's Guide To The Reptiles Of India,"English, Paperback, Das Indraneil",4.3,30,317,499,36
46,Midnight Sun,"English, Paperback, Stephenie Meyer",4.7,98,500,799,37
47,General Knowledge 2021,"English, Paperback, Pandey Manohar",4.4,9049,140,185,24
48,"Arihant CBSE Chapterwise Solved Papers PHYSICS, CHEMIST...","Paperback, Arihant Expert",4.5,77,649,1005,35
49,Bharat Ka Prachin Itihas,"Fine Paperback, Hindi, Ram Sharan Sharma",4.1,99,234,299,21
50,Grandma's Bag Of Stories,"English, Paperback, Murthy Sudha",4.5,2126,153,250,38
51,Sawal hi jawab hai,"Hindi, Paperback, Allan Pease",4.4,4105,96,125,23
52,A Tricky Handbook Community Bullet's,"Paperback, Ashok Baniwal",4.5,36,219,240,8
53,EDUTERIA ESI (Sub Inspector) Test Series,"Paperback, Hindi, Team EduTeria",4.5,689,90,145,37
