,name,rating,number_of_ratings,final_price,original_price,discount,language,bind,author,discount_range
0,Ethics (Hindi) - Nitishastra with 1 Disc,4.4,150,449,560,19,Hindi,Paperback,Sunil Agrahari,11-20
1,A Naturalist's Guide To The Reptiles Of India,4.3,30,317,499,36,English,Paperback,Das Indraneil,31-40
2,Think Like a Monk - Train Your Mind for Peace and Purpo...,4.8,807,388,499,22,English,Paperback,Jay Shetty,21-30
3,25 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers...,4.5,16860,271,525,48,English,Paperback,Disha Experts,41-50
4,Word Power Made Easy,4.3,808,170,399,57,English,Paperback,Norman Lewis,51-60
5,Tamilnadu History Books - Class Xi And Xii ( 2 Books - ...,4.4,2430,210,349,39,English,Paperback,V. ZAFAR AHMED & V. MUTHUMARI,31-40
6,Combo Of THE ALCHEMIST And IKIGAI,4.2,1188,215,799,73,English,Paperback,Albert Liebermann,71-80
7,Bharat Ka Prachin Itihas,4.1,99,234,299,21,English,Paperback,Ram Sharan Sharma,21-30
8,Mtg Neet 32-Years (2019-1988) 3-Books(Phy. + Chem. + Bi...,4.5,1218,603,950,36,English,Paperback,MTG EXPEART TEAM,31-40
9,ENVIRONMENT 7th Revised Edition By Shankar IAS Academy,4.1,2308,230,400,42,English,Paperback,Shankar IAS academy,41-50
10,KVPY 11 Years Solved Papers 2019-2009 Stream SA,4.6,164,117,195,40,English,Paperback,Mansi Garg,31-40
11,"Adhunik Bharat Ka Itihas By Vipin Chandra, Indian Polit...",4.3,607,638,979,34,English,Paperback,Bipin Chandra and M laxmikanth,31-40
12,BIHAR SI/ESI PRE Vol-01 + BIHAR SI MAINS Vol-02,4.7,35,180,310,41,English,Paperback,TEAM EDUTERIA,41-50
13,Set Of 3( Three )Classic Books,3.9,452,380,1228,69,English,Paperback,sapiens and stephens hawking,61-70
14,Bihar Si Mains Volume-2,4.5,58,90,165,45,English,Paperback,EDUTERIA TEAM,41-50
15,SSB OIR - Officer intelligence rating test,4.4,1805,299,419,28,English,Paperback,DDE,21-30
16,Certificate Physical and Human Geography,4.5,19776,246,325,24,English,Paperback,Goh Cheng Leong,21-30
17,IAS COMBO Indian Economy By Ramsh Singh 10th Edition An...,4.2,441,508,1250,59,English,Paperback,MAJID HUSSAIN,51-60
18,10000+ Objective MCQS with Explanatory Notes for Genera...,4.5,4346,472,850,44,English,Paperback,Disha Publication,41-50
19,A Brief History Of Modern India,4.3,1434,275,415,33,English,Paperback,RAJEEV AHIR,31-40
20,Encyclopedia of General Science,4.5,19578,157,245,35,English,Paperback,Experts,31-40
21,"A Naturalist's Guide to the Trees & Shrubs of India, Pa...",4.2,60,317,499,36,English,Paperback,Sachdeva Pardeep,31-40
22,GATE-2021: Mechanical Engg. Prev. Yr Solved Papers,4.4,168,679,875,22,English,Others,MADE EASY Editorial Board,21-30
23,Alchemist,4.5,2226,147,195,24,Hindi,Paperback,Coelho Paulo,21-30
24,CDS Maths : Fastrack With Shortcut Tricks,4.5,82,341,552,38,English,Paperback,DDE,31-40
25,Fast Track Objective Arithmetic,4.5,19644,262,465,43,English,Paperback,Verma Rajesh,41-50
26,Combo Set For Jaiib Principles / Accounting And Legal 3...,4.5,1710,1308,1540,15,English,Paperback,MACMILLAN TEAM,11-20
27,Engineering Mathematics for Gate 2021 and ESE 2021 (Pre...,4.4,298,491,750,34,English,Paperback,unknown,31-40
28,IAS COMBO Indian Economy By Ramsh Singh 11th Edition An...,4.0,306,472,1450,67,English,Paperback,Ramesh Singh (Author),61-70
29,Bihar Si Mains [ Vol-01 & Vol-02 ],4.6,61,175,280,37,English,Paperback,Team Eduteria,31-40
30,Ncert Physics Class12-Volume1 &Volume2,4.3,712,225,330,31,English,Paperback,NCERT EXPERTS,31-40
